TIMESTAMP,HR,TEMP,Sleep_Stage,Index,Custom
7195,68.52,29.59,W,719500,0
7200,68.35,29.57,W,720000,0
7205,67.92,29.43,W,720500,0
7210,67.8,29.35,W,721000,0
7215,67.4,29.15,W,721500,0
7220,66.78,29.55,W,722000,0
7225,66.35,29.57,W,722500,0
7230,65.63,29.57,W,723000,0
7235,65.07,29.59,W,723500,0
7240,65.43,29.59,W,724000,0
7245,66.37,29.57,W,724500,0
7250,66.73,29.59,W,725000,0
7255,66.28,29.61,W,725500,0
7260,65.38,29.61,W,726000,0
7265,64.78,29.65,W,726500,0
7270,64.25,29.65,W,727000,0
7275,64.72,29.65,W,727500,0
7280,65,29.69,W,728000,0
7285,64.65,29.69,W,728500,0
7290,63.75,29.63,W,729000,0
7295,63.4,29.63,W,729500,0
7300,64.2,29.69,W,730000,0
7305,65.35,29.69,W,730500,0
7310,66.88,29.71,W,731000,0
7315,67.5,29.67,W,731500,0
7320,68.08,29.67,W,732000,0
7325,68.3,29.67,W,732500,0
7330,67.4,29.69,W,733000,0
7335,66.63,29.65,W,733500,0
7340,67.5,29.65,W,734000,0
7345,69.33,29.61,W,734500,0
7350,70.45,29.67,W,735000,0
7355,71.2,29.67,W,735500,0
7360,71.32,29.63,W,736000,0
7365,70.5,29.63,W,736500,0
7370,69.67,29.65,W,737000,0
7375,70.3,29.65,W,737500,0
7380,71.23,29.67,W,738000,0
7385,71.95,29.65,W,738500,0
7390,73.73,29.61,W,739000,0
7395,75,29.59,W,739500,0
7400,75.27,29.63,W,740000,0
7405,74.8,29.63,W,740500,0
7410,74.87,29.61,W,741000,0
7415,74.38,29.57,W,741500,0
7420,73.65,29.59,W,742000,0
7425,73.45,29.57,W,742500,0
7430,73.08,29.55,W,743000,0
7435,71.78,29.55,W,743500,0
7440,70.57,29.53,W,744000,0
7445,70.88,29.51,W,744500,0
7450,72.75,29.55,W,745000,0
7455,74.2,29.53,W,745500,0
7460,76.15,29.51,W,746000,0
7465,78.68,29.47,W,746500,0
7470,81.47,29.49,W,747000,0
7475,84.87,29.49,W,747500,0
7480,88.32,29.49,W,748000,0
7485,91.12,29.47,W,748500,0
7490,93.77,29.47,W,749000,0
7495,96.67,29.51,W,749500,0
7500,99.67,29.47,W,750000,0
7505,101.9,29.55,W,750500,0
7510,103.47,29.47,W,751000,0
7515,105.88,29.43,W,751500,0
7520,108.12,29.43,W,752000,0
7525,110.15,29.39,W,752500,0
7530,110.83,29.51,W,753000,0
7535,110.85,29.51,W,753500,0
7540,111.03,29.51,W,754000,0
7545,111.35,29.49,W,754500,0
7550,112,29.51,W,755000,0
7555,112.58,29.49,W,755500,0
7560,112.48,29.51,W,756000,0
7565,111.95,29.51,W,756500,0
7570,110.37,29.51,W,757000,0
7575,107.52,29.55,W,757500,0
7580,104.47,29.53,W,758000,0
7585,101.23,29.51,W,758500,0
7590,98.78,29.51,W,759000,0
7595,96.9,29.51,W,759500,0
7600,94.82,29.49,W,760000,0
7605,92.47,29.49,W,760500,0
7610,89.73,29.49,W,761000,0
7615,86.97,29.49,W,761500,0
7620,85.05,29.49,W,762000,0
7625,82.93,29.51,W,762500,0
7630,81.15,29.49,W,763000,0
7635,79.98,29.55,W,763500,0
7640,78.8,29.59,W,764000,0
7645,77.88,29.53,W,764500,0
7650,77.35,29.47,W,765000,0
7655,76.2,29.51,W,765500,0
7660,74.93,29.49,W,766000,0
7665,74.18,29.49,W,766500,0
7670,74.08,29.47,W,767000,0
7675,74.18,29.47,W,767500,0
7680,73.9,29.47,W,768000,0
7685,73.88,29.47,W,768500,0
7690,73.37,29.51,W,769000,0
7695,72.8,29.47,W,769500,0
7700,70.58,29.43,W,770000,0
7705,68.88,29.43,W,770500,0
7710,68.7,29.45,W,771000,0
7715,69.5,29.43,W,771500,0
7720,70.57,29.39,W,772000,0
7725,73.13,29.37,W,772500,0
7730,75,29.37,W,773000,0
7735,77.08,29.37,W,773500,0
7740,78.85,29.39,W,774000,0
7745,80.25,29.39,W,774500,0
7750,81.75,29.37,W,775000,0
7755,81.98,29.39,W,775500,0
7760,83.88,29.35,W,776000,0
7765,84.95,29.39,W,776500,0
7770,84.45,29.39,W,777000,0
7775,83.58,29.39,W,777500,0
7780,82.68,29.37,W,778000,0
7785,80.28,29.33,W,778500,0
7790,78.22,29.41,W,779000,0
7795,75.93,29.39,W,779500,0
7800,74.12,29.39,W,780000,0
7805,72.85,29.37,W,780500,0
7810,71.9,29.39,W,781000,0
7815,72.23,29.35,W,781500,0
7820,72.48,29.31,W,782000,0
7825,72.23,29.29,W,782500,0
7830,71.93,29.31,W,783000,0
7835,72.87,29.31,W,783500,0
7840,72.87,29.35,W,784000,0
7845,72.23,29.35,W,784500,0
7850,71.38,29.31,W,785000,0
7855,71.02,29.31,W,785500,0
7860,70.37,29.35,W,786000,0
7865,69.32,29.35,W,786500,0
7870,68.25,29.33,W,787000,0
7875,67.63,29.35,W,787500,0
7880,66.77,29.35,W,788000,0
7885,67,29.33,W,788500,0
7890,67.73,29.35,W,789000,0
7895,67.3,29.35,W,789500,0
7900,66.42,29.35,W,790000,0
7905,66.47,29.35,W,790500,0
7910,67.33,29.35,W,791000,0
7915,67.83,29.37,W,791500,0
7920,67.8,29.33,W,792000,0
7925,68.5,29.31,W,792500,0
7930,69.22,29.31,W,793000,0
7935,70.07,29.29,W,793500,0
7940,71.43,29.31,W,794000,0
7945,73.68,29.31,W,794500,0
7950,74.1,29.29,W,795000,0
7955,73.58,29.29,W,795500,0
7960,74.33,29.33,W,796000,0
7965,75,29.31,W,796500,0
7970,74.5,29.29,W,797000,0
7975,74.13,29.31,W,797500,0
7980,74.63,29.33,W,798000,0
7985,73.98,29.31,W,798500,0
7990,72.02,29.35,W,799000,0
7995,69.7,29.31,W,799500,0
8000,67.92,29.33,W,800000,0
8005,65.13,29.25,W,800500,0
8010,63.73,29.31,W,801000,0
8015,62.62,29.37,W,801500,0
8020,61.82,29.49,W,802000,0
8025,61.2,29.77,W,802500,0
8030,62.22,29.71,W,803000,0
8035,63.12,29.87,W,803500,0
8040,64.37,30.03,W,804000,0
8045,65.93,30.11,W,804500,0
8050,68.12,30.07,W,805000,0
8055,69.98,29.95,W,805500,0
8060,71,30.13,W,806000,0
8065,71.63,29.93,W,806500,0
8070,72.55,29.93,W,807000,0
8075,74,30.03,W,807500,0
8080,75.47,30.07,W,808000,0
8085,76.53,30.13,W,808500,0
8090,76.77,30.17,W,809000,0
8095,76.8,29.81,W,809500,0
8100,76.6,29.93,W,810000,0
8105,77.08,30.01,W,810500,0
8110,78,29.89,W,811000,0
8115,78.63,29.93,W,811500,0
8120,78.72,30.11,W,812000,0
8125,78.77,29.95,W,812500,0
8130,78.62,29.81,W,813000,0
8135,78.77,29.85,W,813500,0
8140,78.9,29.89,W,814000,0
8145,79.12,29.89,W,814500,0
8150,79.13,29.91,W,815000,0
8155,79.28,29.93,W,815500,0
8160,78.97,30.03,W,816000,0
8165,80.65,29.99,W,816500,0
8170,82.05,29.83,W,817000,0
